id,idade,genero,escolaridade,cor_pele,renda_familiar,renda_sabe,pessoas_casa,con_1,con_2,con_3,con_4,con_5,con_6,linguagem_programacao,horas_eletronicos_dia,conhecimento_info_total,scr_itens_casa,suporte_escolar_total,autocons,autogest_mot,cons_soc,tom_dec,mindset_sum,tpcr_total
385,"13,00",#NULL!,2,4,#NULL!,"0,00",2,"1,00","0,00","0,00","1,00","1,00","0,00","0,00","10,00","3,00","9,00","3,33","4,00","4,33","2,83","3,33","4,00","6,00"
403,"11,00",#NULL!,1,2,#NULL!,"0,00",1,"0,00","1,00","0,00","1,00","1,00","0,00","1,00","10,00","4,00","4,00",#NULL!,#NULL!,#NULL!,#NULL!,"3,00","4,75","11,00"
519,"11,00",#NULL!,1,4,#NULL!,"0,00",2,"0,00","0,00","0,00","0,00","1,00","0,00","0,00","10,00","1,00","5,00",#NULL!,"4,00","3,67","3,50","3,33","4,00","4,00"
23,"14,00",#NULL!,4,2,#NULL!,"0,00",3,"0,00","0,00","1,00","1,00","1,00","0,00","0,00","6,00","3,00","16,00",#NULL!,"3,75","3,67","3,33","4,00","5,00","16,00"
347,"11,00",#NULL!,1,2,#NULL!,"0,00",4,"1,00","0,00","0,00","1,00","1,00","0,00","0,00","1,00","3,00","17,00","3,33","4,75","4,33","4,33","3,67","5,00","7,00"
425,"13,00",#NULL!,2,2,#NULL!,"0,00",6,"0,00","1,00","0,00","1,00","1,00","0,00","1,00","10,00","4,00","13,00","3,67","3,50","4,00","3,83","3,67","5,50","6,00"
489,"11,00",#NULL!,1,2,#NULL!,"0,00",1,"1,00","0,00","1,00","1,00","1,00","0,00","1,00",#NULL!,"5,00","6,00","2,33",#NULL!,#NULL!,#NULL!,"1,67",#NULL!,"12,00"
1,"12,00",2,1,6,#NULL!,"0,00",1,"1,00","1,00","1,00","1,00","1,00","1,00","1,00","2,00","7,00","5,00",#NULL!,"4,50","4,33","3,00","3,00","6,25","9,00"
3,"14,00",2,4,5,#NULL!,"0,00",5,"1,00","1,00","1,00","1,00","1,00","0,00",#NULL!,#NULL!,#NULL!,"16,00","2,33","4,50","4,33","3,50","3,33","6,50","16,00"
9,"13,00",2,2,2,#NULL!,"0,00",4,"0,00","0,00","0,00","1,00","1,00","0,00","1,00",#NULL!,"3,00","11,00","3,33",#NULL!,"3,33",#NULL!,#NULL!,#NULL!,#NULL!
15,"12,00",2,1,2,#NULL!,"0,00",3,"1,00","0,00","1,00","1,00","1,00","1,00","0,00","5,00","5,00","19,00","5,00","4,25","5,00","4,00","4,33","5,50","10,00"
16,"11,00",2,1,2,#NULL!,"0,00",4,"0,00","0,00","0,00","1,00","0,00","0,00","0,00","12,00","1,00","20,00",#NULL!,"3,75","4,00","3,17","3,33","4,00",#NULL!
17,"14,00",2,4,2,#NULL!,"0,00",2,"1,00","1,00","1,00","1,00","1,00","0,00","1,00","6,00","6,00","20,00",#NULL!,"4,75","4,33","4,50","4,67","5,75",#NULL!
19,"11,00",2,1,1,#NULL!,"0,00",3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,"0,00","1,00",#NULL!,"12,00","1,33",#NULL!,"3,33","4,33","3,33","6,00",#NULL!
27,"11,00",2,1,4,#NULL!,"0,00",4,"0,00","0,00","0,00","1,00","1,00","0,00","0,00","2,00","2,00","9,00",#NULL!,"4,00","4,33","4,17","4,67","6,25",#NULL!
28,"11,00",2,1,6,#NULL!,"0,00",4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,"1,00",#NULL!,#NULL!,#NULL!,#NULL!,"4,00",#NULL!,"3,50","3,00","3,75","4,00"
54,"11,00",2,1,2,#NULL!,"0,00",4,"1,00","0,00","1,00","1,00","1,00","0,00","1,00","1,00","5,00","18,00",#NULL!,"4,50","4,00","3,83","4,00","4,00","13,00"
55,"12,00",2,1,4,#NULL!,"0,00",2,"0,00","0,00","0,00","0,00","0,00","1,00","0,00","4,00","1,00","11,00","3,33","4,00","4,00","4,00","3,33","6,00","6,00"
59,"12,00",2,2,2,#NULL!,"0,00",2,"0,00","0,00","0,00","1,00","1,00","0,00","1,00","7,00","3,00","16,00",#NULL!,"4,00","3,67","3,50","3,33","5,50",#NULL!
69,"12,00",2,2,4,#NULL!,"0,00",4,"1,00","1,00","0,00","1,00","1,00","0,00","1,00","4,00","5,00","11,00",#NULL!,#NULL!,"4,00",#NULL!,"3,67","6,00",#NULL!
70,"11,00",2,1,4,#NULL!,"0,00",4,"1,00","0,00","0,00","1,00","1,00","0,00","0,00","1,00","3,00","26,00",#NULL!,"2,50","4,33","4,00","3,67","4,00",#NULL!
73,"11,00",2,1,2,#NULL!,"0,00",1,"0,00","1,00","0,00","0,00","0,00","0,00","0,00","5,00","1,00","10,00","2,33",#NULL!,"4,00",#NULL!,"3,00","5,50",#NULL!
75,"11,00",2,1,2,#NULL!,"0,00",#NULL!,"0,00","0,00","1,00","1,00","1,00","1,00","0,00","5,00","4,00","13,00","3,67",#NULL!,"5,00",#NULL!,#NULL!,"7,00",#NULL!
83,"13,00",2,3,4,#NULL!,"0,00",2,"0,00","1,00","0,00","1,00","1,00","1,00","1,00","6,00","5,00","14,00","3,00","4,00","4,00","3,67","3,33","6,00",#NULL!
87,"13,00",2,3,5,#NULL!,"0,00",2,"0,00","0,00","0,00","1,00","1,00","0,00","0,00","3,00","2,00","12,00","4,00","3,50","3,67","3,33","3,00","5,00",#NULL!
89,"13,00",2,3,2,#NULL!,"0,00",2,"0,00","0,00","1,00","1,00","1,00","0,00","0,00","12,00","3,00","16,00",#NULL!,"4,75","3,67","3,50","3,00","4,75","9,00"
94,"13,00",2,3,2,#NULL!,"0,00",3,"0,00","0,00","1,00","1,00","1,00","0,00","1,00",#NULL!,"4,00","10,00","4,67","4,50","3,33","3,67","3,33","7,00","17,00"
102,"13,00",2,2,4,#NULL!,"0,00",6,"1,00","1,00","1,00","1,00","0,00","1,00","1,00","3,00","6,00","13,00","3,33","4,00","4,33","3,83","4,00","5,25",#NULL!
