ds_user_city,n_days_since_firstaccess,n_days_since_lastaccess,n_assignments_flagged,n_assignments_mapped,n_forum_discussions_posted,n_quiz_abandoned,n_quiz_finished,vl_avg_quiz_speed,vl_avg_graded_quiz_speed,vl_quiz_performance,n_interval_using,n_days_using,vl_avg_daily_activity,vl_user_engagement_by_interval,vl_user_engagement_intra_day,n_user_interactions,n_days_discussion_engagement,n_days_quiz_engagement,n_discussion_engagement,n_quiz_engagement,n_questions_answered,n_questions_rigth,n_questions_wrong,n_questions_partial,vl_user_performance,vl_avg_questions_by_day,vl_grades_engagement,n_items_graded,n_items_not_responded,vl_grade_average,n_code_submissions,vl_avg_code_submissions,vl_submissions_by_days_active,vl_questions_accuracy,vl_graded_items_engagement,is_dropout
12,416,5,0,9,9,3,2,224.0,224.0,38.888888888,411.0,191,137.7257,46.3592,297.0838,191,64,133,289,4558,20,9,5,0,1.0,0.0,0.0,1,276,1.0,0,0.0,0.0,0.45,0.0036231884057971015,0
13,416,10,0,3,11,0,4,127.5,166.3333,4.508196721,406.0,194,50.914,47.6658,106.8144,194,30,72,192,1429,15,9,4,1,0.361878453,0.0409,0.0252,13,451,0.5897435897436,61,0.3697,3.8125,0.6,0.028824833702882482,0
12,382,0,0,0,0,0,0,0.0,0.0,0.0,382.0,71,5.4334,18.5379,29.3099,71,3,25,22,420,1,0,0,0,0.0,0.0,0.0,0,214,0.0,0,0.0,0.0,0.0,0.0,0
13,390,0,0,35,9,0,1,20.0,20.0,17.857142857,390.0,181,47.8875,46.2916,103.4475,181,16,61,73,1660,6,1,0,0,1.0,0.0,0.0,1,263,1.0,0,0.0,0.0,0.16666666666666666,0.0038022813688212928,0
1,383,21,11,27,2,0,27,134816.2593,363847.7,80.868085106,362.0,55,5.719,15.1515,37.7455,55,12,37,31,837,342,290,21,9,0.37464126,0.2092,0.1172,50,141,0.4298483933333,0,0.0,0.0,0.847953216374269,0.3546099290780142,1
5,382,311,0,10,1,3,16,41043.75,111.25,33.333333333,71.0,32,15.625,44.4444,35.1563,32,7,15,28,470,145,112,9,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.7724137931034483,0.0,1
11,381,374,0,14,0,0,1,170.0,0.0,0.0,131.0,3,0.2879,0.0,0.0,3,0,1,0,19,7,5,0,0,0.133333333,0.3061,0.1633,15,144,0.1333333333333,0,0.0,0.0,0.7142857142857143,0.10416666666666667,1
3,381,269,5,14,3,2,26,40820.1923,131692.375,80.807228915,283.0,55,7.2289,19.3662,37.3273,55,8,32,25,951,345,276,8,0,0.532771454,0.3469,0.2245,34,125,0.5887598137255,0,0.0,0.0,0.8,0.272,1
8,381,311,0,14,0,0,7,162.8571,0.0,0.0,300.0,16,1.2027,5.3156,22.625,16,0,9,0,152,49,35,0,0,0.636363636,0.1964,0.1607,11,148,0.6363636363636,0,0.0,0.0,0.7142857142857143,0.07432432432432433,1
6,360,265,0,1,3,0,6,72.0,0.0,0.0,342.0,48,11.9213,13.9942,85.1875,48,9,16,27,150,18,6,0,0,0.0,0.0,0.0,1,48,0.0,0,0.0,0.0,0.3333333333333333,0.020833333333333332,1
6,353,353,0,1,0,0,0,0.0,0.0,0.0,321.0,2,0.1708,0.0,0.0,2,1,0,2,0,0,0,0,0,0.0,0.0,0.0,1,2,0.0,0,0.0,0.0,0.0,0.5,1
6,336,272,0,14,0,0,2,1880.5,0.0,0.0,64.0,9,4.6769,0.0,0.0,9,0,3,0,175,82,82,0,0,1.0,0.0,0.0,8,46,1.0,0,0.0,0.0,1.0,0.17391304347826086,1
6,335,335,0,0,0,0,0,0.0,0.0,0.0,307.0,2,0.0357,0.0,0.0,2,0,0,0,0,0,0,0,0,0.924242433,0.375,0.375,3,42,0.9242424333333,0,0.0,0.0,0.0,0.07142857142857142,1
7,332,266,0,1,0,0,4,64.0,0.0,0.0,66.0,13,6.3731,19.403,32.8462,13,3,4,13,67,18,4,0,0,0.0,0.0,0.0,1,2,0.0,0,0.0,0.0,0.2222222222222222,0.5,1
6,328,328,0,0,0,0,0,0.0,0.0,0.0,0.0,1,16.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,1
12,312,0,1,48,39,0,7,111.8571,93.2,6.203995793,312.0,181,110.885,57.8275,191.7514,181,58,88,619,1944,18,13,1,1,0.776923077,0.0267,0.0267,4,716,0.6375,7,0.0,7.0,0.7222222222222222,0.00558659217877095,0
6,305,305,0,0,0,0,1,2629.0,2629.0,0.0,273.0,4,0.4051,0.0,0.0,4,0,1,0,86,37,14,10,0,0.7674375,0.0,0.0,2,43,0.6899166666667,0,0.0,0.0,0.3783783783783784,0.046511627906976744,1
14,255,20,0,0,0,0,5,20472.2,25557.75,87.819875776,235.0,4,0.9873,0.0,0.0,4,0,3,0,175,109,94,8,5,0.90426087,0.0128,0.0085,3,63,0.9193888888889,0,0.0,0.0,0.8623853211009175,0.047619047619047616,1
0,220,12,0,12,0,0,0,0.0,0.0,0.0,208.0,3,0.1866,0.0,0.0,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,90,0.0,0,0.0,0.0,0.0,0.0,0
-1,188,188,0,0,0,0,0,0.0,0.0,0.0,0.0,1,24.0,0.0,0.0,1,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,1
2,188,188,0,0,0,0,0,0.0,0.0,0.0,0.0,1,20.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,1
10,186,7,0,0,3,0,17,15294.0588,170.0,71.666666666,179.0,44,12.4889,24.4444,51.0909,44,20,21,123,384,115,89,17,2,0.919434207,0.1564,0.0503,28,58,0.9220238214286,0,0.0,0.0,0.7739130434782608,0.4827586206896552,0
4,179,0,0,0,0,0,4,84128.75,84128.75,0.0,179.0,9,2.6167,0.0,0.0,9,3,6,13,129,114,79,29,2,0.982608696,0.6111,0.2222,11,52,0.9818181818182,0,0.0,0.0,0.6929824561403509,0.21153846153846154,0
-1,179,17,0,0,0,0,0,0.0,0.0,0.0,162.0,3,0.2945,0.0,0.0,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,1
9,143,143,0,0,0,0,0,0.0,0.0,0.0,0.0,1,16.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,1
12,125,27,0,0,0,1,1,35.0,35.0,0.0,98.0,3,0.5354,0.0,0.0,3,0,2,0,24,4,1,0,0,1.0,0.0,0.0,1,62,1.0,0,0.0,0.0,0.25,0.016129032258064516,1
-1,109,49,0,0,0,0,0,0.0,0.0,0.0,60.0,3,1.3443,0.0,0.0,3,1,0,3,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,1
-1,73,40,0,0,0,0,46,51944.0,53096.4667,82.126642294,33.0,18,80.7059,52.9412,152.4444,18,9,13,62,1257,139,132,25,3,0.935679072,1.125,0.25,36,14,0.9342834259259,6,1.5,3.0,0.9496402877697842,2.5714285714285716,1
-1,58,18,0,0,0,0,0,0.0,0.0,0.0,40.0,3,0.6341,0.0,0.0,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,1
-1,56,6,0,0,0,0,4,1835.25,1835.25,89.729729729,50.0,26,21.4706,50.9804,42.1154,26,6,10,28,179,62,51,8,1,0.991836735,0.525,0.325,21,42,0.9904761904762,47,6.7143,15.6667,0.8225806451612904,0.5,0
-1,48,1,0,0,0,0,2,2518.0,2518.0,0.0,47.0,29,16.0,60.4167,26.4828,29,6,7,26,112,58,52,2,1,0.98989897,0.3721,0.2558,16,47,0.9895833125,0,0.0,0.0,0.896551724137931,0.3404255319148936,0
12,27,11,0,0,0,0,0,0.0,0.0,0.0,27.0,3,2.3571,0.0,0.0,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,6,0.0,6.0,0.0,0.0,0
12,23,8,0,0,0,0,2,798.5,798.5,0.0,15.0,2,5.9375,0.0,0.0,2,1,2,1,44,59,50,5,1,0.964285714,0.0,0.0,3,60,0.9583333333333,0,0.0,0.0,0.847457627118644,0.05,0
12,47,47,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,1
12,42,42,0,0,0,0,0,0.0,0.0,0.0,0.0,1,7.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,1
12,47,47,0,0,0,0,0,0.0,0.0,0.0,0.0,1,10.0,0.0,0.0,1,0,1,0,3,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,1
12,47,46,0,0,0,0,1,33.0,33.0,0.0,1.0,2,20.0,0.0,0.0,2,0,1,0,12,0,1,0,0,1.0,0.0,0.0,1,62,1.0,0,0.0,0.0,0.0,0.016129032258064516,1
12,47,2,0,0,1,0,5,8054.0,8054.0,82.727272727,45.0,31,44.9348,67.3913,66.6774,31,10,14,60,266,62,49,12,1,0.99754902,0.55,0.3,22,41,0.9971590909091,84,7.0,16.8,0.7903225806451613,0.5365853658536586,0
12,19612,19612,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,1
12,47,47,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,1
12,41,16,0,0,0,0,2,432769.5,432769.5,0.0,25.0,8,9.8846,0.0,0.0,8,3,5,10,123,60,46,10,1,1.0,0.6875,0.3125,11,52,1.0,0,0.0,0.0,0.7666666666666667,0.21153846153846154,1
12,19612,19612,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,1
12,19612,19612,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,1
-1,46,34,0,0,0,0,2,340825.0,340825.0,0.0,12.0,4,6.6923,0.0,0.0,4,1,3,1,49,61,52,6,0,1.0,0.0,0.0,1,62,1.0,0,0.0,0.0,0.8524590163934426,0.016129032258064516,1
-1,19612,19612,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,1
-1,44,44,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,1
-1,42,0,0,0,0,0,0,0.0,0.0,0.0,42.0,13,1.907,30.2326,6.3077,13,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0
12,35,35,0,0,0,0,2,776.5,776.5,0.0,0.0,1,48.0,0.0,0.0,1,0,1,0,35,61,52,5,1,1.0,0.0,0.0,1,62,1.0,0,0.0,0.0,0.8524590163934426,0.016129032258064516,1
12,19612,19612,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,1
12,38,7,0,0,0,0,2,2244.0,2244.0,0.0,31.0,2,3.0313,0.0,0.0,2,1,1,1,78,58,54,3,0,1.0,0.0,0.0,1,62,1.0,0,0.0,0.0,0.9310344827586207,0.016129032258064516,0
12,19612,19612,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,1
12,42,13,0,0,0,0,2,914.0,914.0,0.0,29.0,6,5.7,0.0,0.0,6,3,3,9,62,59,53,2,1,0.944545467,0.4118,0.2353,7,56,0.9405844285714,0,0.0,0.0,0.8983050847457628,0.125,0
12,42,42,0,0,0,0,0,0.0,0.0,0.0,0.0,1,7.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,1
12,19612,19612,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,1
12,19612,19612,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,1
12,40,13,0,0,0,0,2,584.5,584.5,0.0,27.0,4,3.0357,0.0,0.0,4,0,1,0,32,58,51,3,1,1.0,0.16,0.08,4,59,1.0,0,0.0,0.0,0.8793103448275862,0.06779661016949153,0
12,19612,19612,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,1
12,19612,19612,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,1
12,19612,19612,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,1
12,19612,19612,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,1
12,41,17,0,0,0,0,0,0.0,0.0,0.0,24.0,2,0.2,0.0,0.0,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,1
12,19612,19612,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,1
