id_user,ds_user_city,ds_institution,ts_firstaccess,ts_lastaccess,n_days_since_firstaccess,n_days_since_lastaccess,n_assignments_flagged,n_assignments_mapped,n_forum_discussions_posted,n_quiz_abandoned,n_quiz_finished,vl_avg_quiz_speed,vl_avg_graded_quiz_speed,vl_quiz_performance,n_interval_using,n_days_using,vl_avg_daily_activity,vl_user_engagement_by_interval,vl_user_engagement_intra_day,n_user_interactions,n_days_discussion_engagement,n_days_quiz_engagement,n_discussion_engagement,n_quiz_engagement,n_questions_answered,n_questions_rigth,n_questions_wrong,n_questions_partial,vl_user_performance,vl_avg_questions_by_day,vl_grades_engagement,n_items_graded,n_items_not_responded,vl_grade_average,n_code_submissions,vl_avg_code_submissions,vl_submissions_by_days_active
6,Passo Fundo,,1658496011,1694022170,416,5,0,9,9,3,2,224.0000,224.0000,38.888888888,411,191,137.7257,46.3592,297.0838,191,64,133,289,4558,20,9,5,0,1.000000000,NULL,NULL,1,276,1.0000000000000,0,NULL,NULL
9,Porto Alegre,,1658496419,1693599050,416,10,0,3,11,0,4,127.5000,166.3333,4.508196721,406,194,50.9140,47.6658,106.8144,194,30,72,192,1429,15,9,4,1,0.361878453,0.0409,0.0252,13,451,0.5897435897436,61,0.3697,3.8125
138,Passo Fundo,,1661452408,1694469639,382,0,0,0,0,0,0,NULL,NULL,NULL,382,71,5.4334,18.5379,29.3099,71,3,25,22,420,1,0,0,0,NULL,NULL,NULL,0,214,NULL,0,NULL,NULL
141,porto alegre,,1660757582,1694455603,390,0,0,35,9,0,1,20.0000,20.0000,17.857142857,390,181,47.8875,46.2916,103.4475,181,16,61,73,1660,6,1,0,0,1.000000000,NULL,NULL,1,263,1.0000000000000,0,NULL,NULL
155,Brasília,,1661376457,1692652968,383,21,11,27,2,0,27,134816.2593,363847.7000,80.868085106,362,55,5.7190,15.1515,37.7455,55,12,37,31,837,342,290,21,9,0.374641260,0.2092,0.1172,50,141,0.4298483933333,0,NULL,NULL
172,Feliz,,1661457051,1667592673,382,311,0,10,1,3,16,41043.7500,111.2500,33.333333333,71,32,15.6250,44.4444,35.1563,32,7,15,28,470,145,112,9,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
198,Nova Petrópolis,,1661542019,1662149939,381,374,0,14,0,0,1,170.0000,NULL,NULL,131,3,0.2879,NULL,NULL,3,0,1,0,19,7,5,0,0,0.133333333,0.3061,0.1633,15,144,0.1333333333333,0,NULL,NULL
237,Dois Irmãos ,,1661531319,1671222191,381,269,5,14,3,2,26,40820.1923,131692.3750,80.807228915,283,55,7.2289,19.3662,37.3273,55,8,32,25,951,345,276,8,0,0.532771454,0.3469,0.2245,34,125,0.5887598137255,0,NULL,NULL
257,Gramado,,1661542254,1667580227,381,311,0,14,0,0,7,162.8571,NULL,NULL,300,16,1.2027,5.3156,22.6250,16,0,9,0,152,49,35,0,0,0.636363636,0.1964,0.1607,11,148,0.6363636363636,0,NULL,NULL
426,Fortaleza,,1663352727,1671533068,360,265,0,1,3,0,6,72.0000,NULL,NULL,342,48,11.9213,13.9942,85.1875,48,9,16,27,150,18,6,0,0,0.000000000,NULL,NULL,1,48,0.0000000000000,0,NULL,NULL
533,Fortaleza ,,1663952057,1663960419,353,353,0,1,0,0,0,NULL,NULL,NULL,321,2,0.1708,NULL,NULL,2,1,0,2,0,0,0,0,0,0.000000000,NULL,NULL,1,2,0.0000000000000,0,NULL,NULL
1806,fortaleza,,1665425670,1670959186,336,272,0,14,0,0,2,1880.5000,NULL,NULL,64,9,4.6769,NULL,NULL,9,0,3,0,175,82,82,0,0,1.000000000,NULL,NULL,8,46,1.0000000000000,0,NULL,NULL
1869,Fortaleza CE,,1665497131,1665498875,335,335,0,0,0,0,0,NULL,NULL,NULL,307,2,0.0357,NULL,NULL,2,0,0,0,0,0,0,0,0,0.924242433,0.3750,0.3750,3,42,0.9242424333333,0,NULL,NULL
2045,Fortaleza ceará ,,1665769139,1671486370,332,266,0,1,0,0,4,64.0000,NULL,NULL,66,13,6.3731,19.4030,32.8462,13,3,4,13,67,18,4,0,0,0.000000000,NULL,NULL,1,2,0.0000000000000,0,NULL,NULL
2222,Fortaleza ce,,1666091686,1666093172,328,328,0,0,0,0,0,NULL,NULL,NULL,0,1,16.0000,NULL,NULL,1,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
3293,Passo Fundo ,,1667501243,1694451399,312,0,1,48,39,0,7,111.8571,93.2000,6.203995793,312,181,110.8850,57.8275,191.7514,181,58,88,619,1944,18,13,1,1,0.776923077,0.0267,0.0267,4,716,0.6375000000000,7,NULL,7.0000
3680,fortaleza,,1668077732,1668083176,305,305,0,0,0,0,1,2629.0000,2629.0000,NULL,273,4,0.4051,NULL,NULL,4,0,1,0,86,37,14,10,0,0.767437500,NULL,NULL,2,43,0.6899166666667,0,NULL,NULL
5320,Rio Pardo - RS,,1672424588,1692747712,255,20,0,0,0,0,5,20472.2000,25557.7500,87.819875776,235,4,0.9873,NULL,NULL,4,0,3,0,175,109,94,8,5,0.904260870,0.0128,0.0085,3,63,0.9193888888889,0,NULL,NULL
5862,Blumenau ,,1675436449,1693433737,220,12,0,12,0,0,0,NULL,NULL,NULL,208,3,0.1866,NULL,NULL,3,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,90,NULL,0,NULL,NULL
6219,,,1678214561,1678215329,188,188,0,0,0,0,0,NULL,NULL,NULL,0,1,24.0000,NULL,NULL,1,1,0,1,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
6221,Caxias do sul ,,1678221885,1678231560,188,188,0,0,0,0,0,NULL,NULL,NULL,0,1,20.0000,NULL,NULL,1,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
6249,Lagoa Vermelha/RS,,1678371916,1693846818,186,7,0,0,3,0,17,15294.0588,170.0000,71.666666666,179,44,12.4889,24.4444,51.0909,44,20,21,123,384,115,89,17,2,0.919434207,0.1564,0.0503,28,58,0.9220238214286,0,NULL,NULL
6460,Esteio,,1678998712,1694468507,179,0,0,0,0,0,4,84128.7500,84128.7500,NULL,179,9,2.6167,NULL,NULL,9,3,6,13,129,114,79,29,2,0.982608696,0.6111,0.2222,11,52,0.9818181818182,0,NULL,NULL
6476,,,1679009073,1692985859,179,17,0,0,0,0,0,NULL,NULL,NULL,162,3,0.2945,NULL,NULL,3,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
6966,Lagoa Vermelha,,1682091438,1682091579,143,143,0,0,0,0,0,NULL,NULL,NULL,0,1,16.0000,NULL,NULL,1,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
7782,Passo Fundo,,1683672345,1692130044,125,27,0,0,0,1,1,35.0000,35.0000,NULL,98,3,0.5354,NULL,NULL,3,0,2,0,24,4,1,0,0,1.000000000,NULL,NULL,1,62,1.0000000000000,0,NULL,NULL
8600,,,1685035200,1690225057,109,49,0,0,0,0,0,NULL,NULL,NULL,60,3,1.3443,NULL,NULL,3,1,0,3,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
9884,,,1688179613,1690986308,73,40,0,0,0,0,46,51944.0000,53096.4667,82.126642294,33,18,80.7059,52.9412,152.4444,18,9,13,62,1257,139,132,25,3,0.935679072,1.1250,0.2500,36,14,0.9342834259259,6,1.5000,3.0000
10339,,,1689459973,1692884656,58,18,0,0,0,0,0,NULL,NULL,NULL,40,3,0.6341,NULL,NULL,3,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
10363,,,1689612221,1693937636,56,6,0,0,0,0,4,1835.2500,1835.2500,89.729729729,50,26,21.4706,50.9804,42.1154,26,6,10,28,179,62,51,8,1,0.991836735,0.5250,0.3250,21,42,0.9904761904762,47,6.7143,15.6667
10483,,,1690288274,1694366405,48,1,0,0,0,0,2,2518.0000,2518.0000,NULL,47,29,16.0000,60.4167,26.4828,29,6,7,26,112,58,52,2,1,0.989898970,0.3721,0.2558,16,47,0.9895833125000,0,NULL,NULL
10502,Passo Fundo,,1692119556,1693484090,27,11,0,0,0,0,0,NULL,NULL,NULL,27,3,2.3571,NULL,NULL,3,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,6,NULL,6.0000
10503,Passo Fundo,,1692463467,1693754964,23,8,0,0,0,0,2,798.5000,798.5000,NULL,15,2,5.9375,NULL,NULL,2,1,2,1,44,59,50,5,1,0.964285714,NULL,NULL,3,60,0.9583333333333,0,NULL,NULL
