id_user,ds_user_city,ds_institution,ts_firstaccess,ts_lastaccess,n_days_since_firstaccess,n_days_since_lastaccess,n_assignments_flagged,n_assignments_mapped,n_forum_discussions_posted,n_quiz_abandoned,n_quiz_finished,vl_avg_quiz_speed,vl_avg_graded_quiz_speed,vl_quiz_performance,n_interval_using,n_days_using,vl_avg_daily_activity,vl_user_engagement_by_interval,vl_user_engagement_intra_day,n_user_interactions,n_days_discussion_engagement,n_days_quiz_engagement,n_discussion_engagement,n_quiz_engagement,n_questions_answered,n_questions_rigth,n_questions_wrong,n_questions_partial,vl_user_performance,vl_avg_questions_by_day,vl_grades_engagement,n_items_graded,n_items_not_responded,vl_grade_average,n_code_submissions,vl_avg_code_submissions,vl_submissions_by_days_active
6,Passo Fundo,,1658496011,1697723668,466,12,0,9,9,3,2,224.0000,224.0000,38.888888888,454,196,124.7582,43.0769,289.6173,196,64,133,289,4558,20,9,5,0,1.000000000,NULL,NULL,1,276,1.0000000000000,0,NULL,NULL
9,Porto Alegre,,1658496419,1696986988,466,21,0,4,11,0,4,127.5000,166.3333,4.388297872,445,204,47.0157,45.7399,102.7892,204,34,75,208,1447,15,9,4,1,0.361878453,0.0409,0.0252,13,493,0.5897435897436,61,0.3697,3.8125
138,Passo Fundo,,1661452408,1698693573,432,1,0,0,0,0,2,213430.0000,75.0000,13.870967741,431,102,8.6088,23.6111,36.4608,102,6,35,34,550,30,10,7,12,0.430000000,NULL,NULL,1,254,0.4300000000000,0,NULL,NULL
141,porto alegre,,1660757582,1698783785,440,0,0,35,9,0,1,20.0000,20.0000,3.311258278,440,212,45.8413,48.0726,95.3585,212,20,71,84,1750,6,1,0,0,1.000000000,NULL,NULL,1,309,1.0000000000000,0,NULL,NULL
155,Brasília,,1661376457,1692652968,433,71,11,27,2,0,27,134816.2593,363847.7000,80.868085106,362,55,5.7190,15.1515,37.7455,55,12,37,31,837,342,290,21,9,0.374641260,0.2092,0.1172,50,141,0.4298483933333,0,NULL,NULL
172,Feliz,,1661457051,1667592673,432,361,0,10,1,3,16,41043.7500,111.2500,33.333333333,71,32,15.6250,44.4444,35.1563,32,7,15,28,470,145,112,9,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
198,Nova Petrópolis,,1661542019,1662149939,431,424,0,14,0,0,1,170.0000,NULL,NULL,131,3,0.2879,NULL,NULL,3,0,1,0,19,7,5,0,0,0.133333333,0.3061,0.1633,15,144,0.1333333333333,0,NULL,NULL
237,Dois Irmãos ,,1661531319,1671222191,431,319,5,14,3,2,26,40820.1923,131692.3750,80.807228915,283,55,7.2289,19.3662,37.3273,55,8,32,25,951,345,276,8,0,0.532771454,0.3469,0.2245,34,125,0.5887598137255,0,NULL,NULL
257,Gramado,,1661542254,1667580227,431,361,0,14,0,0,7,162.8571,NULL,NULL,300,16,1.2027,5.3156,22.6250,16,0,9,0,152,49,35,0,0,0.636363636,0.1964,0.1607,11,148,0.6363636363636,0,NULL,NULL
426,Fortaleza,,1663352727,1695213634,410,41,0,1,3,0,8,252.3750,793.5000,41.880341880,369,51,11.7189,13.7838,85.0196,51,11,18,37,224,78,52,9,0,0.348219939,0.0235,0.0067,7,105,0.7493755714286,0,NULL,NULL
533,Fortaleza ,,1663952057,1663960419,403,403,0,1,0,0,0,NULL,NULL,NULL,321,2,0.1708,NULL,NULL,2,1,0,2,0,0,0,0,0,0.000000000,NULL,NULL,1,2,0.0000000000000,0,NULL,NULL
1806,fortaleza,,1665425670,1670959186,386,322,0,14,0,0,2,1880.5000,NULL,NULL,64,9,4.6769,NULL,NULL,9,0,3,0,175,82,82,0,0,1.000000000,NULL,NULL,8,46,1.0000000000000,0,NULL,NULL
1869,Fortaleza CE,,1665497131,1665498875,385,385,0,0,0,0,0,NULL,NULL,NULL,373,3,0.0321,NULL,NULL,3,0,0,0,0,0,0,0,0,0.924242433,0.3750,0.3750,3,42,0.9242424333333,0,NULL,NULL
2045,Fortaleza ceará ,,1665769139,1671486370,382,316,0,1,0,0,4,64.0000,NULL,NULL,66,13,6.3731,19.4030,32.8462,13,3,4,13,67,18,4,0,0,0.000000000,NULL,NULL,1,2,0.0000000000000,0,NULL,NULL
2222,Fortaleza ce,,1666091686,1666093172,378,378,0,0,0,0,0,NULL,NULL,NULL,0,1,16.0000,NULL,NULL,1,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
2657,Santo Antônio da Patrulha,,1666620995,1692971719,372,67,0,0,0,0,20,197.0000,225.8125,75.581395348,305,20,3.5163,6.5359,53.8000,20,2,9,18,304,83,68,9,2,0.877593361,0.1582,0.0506,25,257,0.8820000000000,0,NULL,NULL
3293,Passo Fundo ,,1667501243,1698797111,362,0,1,51,59,0,7,111.8571,93.2000,5.207413945,362,219,113.9807,60.3306,188.9269,219,82,104,820,2081,18,13,1,1,0.884000000,0.0461,0.0276,10,777,0.8550000000000,7,NULL,7.0000
3680,fortaleza,,1668077732,1668083176,355,355,0,0,0,0,1,2629.0000,2629.0000,NULL,273,4,0.4051,NULL,NULL,4,0,1,0,86,37,14,10,0,0.767437500,NULL,NULL,2,43,0.6899166666667,0,NULL,NULL
5320,Rio Pardo - RS,,1672424588,1692747712,305,70,0,0,0,0,5,20472.2000,25557.7500,87.819875776,235,4,0.9873,NULL,NULL,4,0,3,0,175,109,94,8,5,0.904260870,0.0128,0.0085,3,63,0.9193888888889,0,NULL,NULL
5862,Blumenau ,,1675436449,1693433737,270,62,0,12,0,0,0,NULL,NULL,NULL,208,3,0.1866,NULL,NULL,3,0,0,0,0,0,0,0,0,NULL,NULL,NULL,0,90,NULL,0,NULL,NULL
6218,Caxias do sul,,1678214464,1683662600,238,175,0,0,0,0,0,NULL,NULL,NULL,63,4,0.5625,NULL,NULL,4,2,0,5,0,0,0,0,0,NULL,NULL,NULL,0,0,NULL,0,NULL,NULL
